Location,Geographical Region,School Number,School,ENGLISH,NEPALI,MATHS,SCIENCE,SOCIAL STUDIES,HEALTH POPULATION AND ENVIRONMENT,TAP,SAP,DISTINCTION,FIRST DIVISION,SECOND DIVISION,THIRD DIVISION,PASS,FAIL,PASS PERCENT
"Taplejung, Mechi, Eastern",Mountain,1,"BALSUBODHINI SAN MA VI MEDIBUNG PHUNGLIN, 1001",16.2,51.5,21.8,25.5,30.8,33.1,60,60,0,2,7,0,9,51,15.0
"Taplejung, Mechi, Eastern",Mountain,2,"BHANUJAN MA VI AMBITAR, 1002",17.3,46.5,25.3,23.5,38.2,39.2,116,115,0,5,16,0,21,94,18.3
"Taplejung, Mechi, Eastern",Mountain,3,"MOTI MA VI KHOKLING, 1003",16.2,48.5,34.2,31.0,30.4,42.4,30,30,0,0,2,0,2,28,6.7
"Taplejung, Mechi, Eastern",Mountain,4,"SINAM MA VI SINAM, 1004",28.7,41.6,41.2,36.9,41.4,48.2,76,75,0,12,46,0,58,17,77.3
"Taplejung, Mechi, Eastern",Mountain,5,"GANESH MA VI KHEWANG, 1005",23.3,44.1,31.7,28.0,43.6,35.0,27,27,0,2,7,0,9,18,33.3
"Taplejung, Mechi, Eastern",Mountain,6,"THECHAMBU MA VI THECHAMBU, 1006",13.3,39.7,36.6,27.8,38.8,33.1,43,43,0,2,3,0,5,38,11.6
"Taplejung, Mechi, Eastern",Mountain,7,"MAIWAKHOLA MA VI TEMBE, 1007",15.0,37.8,24.3,28.5,37.4,34.0,62,62,0,2,6,0,8,54,12.9
"Taplejung, Mechi, Eastern",Mountain,8,"PRITHVI MA VI KHAMLUNG, 1008",21.7,47.4,44.5,35.0,32.9,39.5,15,15,0,0,7,1,8,7,53.3
"Taplejung, Mechi, Eastern",Mountain,9,"BHANJYANG MA VI LIMBUDIN, 1009",23.7,38.1,39.1,35.1,35.9,43.3,89,88,0,8,34,1,43,45,48.9
"Taplejung, Mechi, Eastern",Mountain,10,"NARAYANI MA VI SANGHU, 1010",12.9,34.1,23.5,27.7,34.9,34.2,35,35,0,0,3,0,3,32,8.6
"Taplejung, Mechi, Eastern",Mountain,11,"DURGA MA VI PHULBARI, 1011",21.8,47.9,40.3,29.4,33.7,36.7,27,27,0,1,7,2,10,17,37.0
"Taplejung, Mechi, Eastern",Mountain,12,"SARASWATI MA VI HANGPANG, 1012",23.3,41.6,32.4,28.5,38.2,36.2,31,31,0,0,11,4,15,16,48.4
"Taplejung, Mechi, Eastern",Mountain,13,"JANATA MA VI HANGDEWA, 1013",17.8,43.8,30.6,23.5,29.8,35.6,52,52,0,2,10,0,12,40,23.1
"Taplejung, Mechi, Eastern",Mountain,14,"SARASWATI MA VI LELEP, 1014",26.6,54.0,37.1,32.1,35.3,40.3,14,14,0,2,5,1,8,6,57.1
"Taplejung, Mechi, Eastern",Mountain,15,"SARASWATI MA VI SIKAICHA, 1015",15.2,38.1,32.3,25.6,32.3,31.2,32,32,0,2,1,2,5,27,15.6
"Taplejung, Mechi, Eastern",Mountain,16,"SANWA MA VI SANWA MEWAKHOLA, 1016",20.8,46.5,34.3,34.7,32.6,35.9,28,28,0,2,11,0,13,15,46.4
"Taplejung, Mechi, Eastern",Mountain,17,"TELLOK MA VI TELLOK, 1017",19.4,39.0,37.9,27.4,43.0,37.5,32,32,0,1,9,0,10,22,31.3
"Taplejung, Mechi, Eastern",Mountain,18,"NILGIRI MA VI MEHELE, 1018",15.6,43.6,29.9,26.8,30.7,34.2,40,40,0,1,4,0,5,35,12.5
"Taplejung, Mechi, Eastern",Mountain,19,"KALIKA MA VI NANGKHOLYANG, 1019",14.5,41.7,40.8,25.1,37.6,34.5,55,55,0,3,6,0,9,46,16.4
"Taplejung, Mechi, Eastern",Mountain,20,"NAVA JYOTI AWASIYA MA VI PHUNGLING, 1020",22.2,43.3,39.8,24.9,31.0,34.5,67,67,0,1,22,1,24,43,35.8
"Taplejung, Mechi, Eastern",Mountain,21,"SINWA MA VI LINGSIM SINWA, 1021",24.4,52.6,43.3,37.5,39.6,42.5,20,20,0,3,8,1,12,8,60.0
"Taplejung, Mechi, Eastern",Mountain,22,"MAHENDRA MA VI PHAKUMVA MAIWAKHOLA, 1022",13.8,35.4,22.2,24.4,35.2,32.7,30,30,0,0,3,1,4,26,13.3
"Taplejung, Mechi, Eastern",Mountain,23,"CHAKSIBOTE MA VI CHAKSIBOTE, 1023",15.6,37.9,35.1,31.1,37.4,33.7,16,16,0,0,4,1,5,11,31.3
"Taplejung, Mechi, Eastern",Mountain,24,"CHANGE MA VI CHANGE, 1024",18.2,38.8,22.9,27.1,30.4,31.5,75,75,0,1,13,3,17,58,22.7
"Taplejung, Mechi, Eastern",Mountain,25,"KALIKA MA VI TIRINGA, 1025",14.4,41.0,30.0,28.7,40.5,33.5,28,28,0,0,2,0,2,26,7.1
"Taplejung, Mechi, Eastern",Mountain,26,"SHARADA MA VI THUMBEDIN, 1026",21.4,35.8,41.6,29.4,37.5,45.0,33,33,0,2,11,3,16,17,48.5
"Taplejung, Mechi, Eastern",Mountain,27,"AMBEGUDIN MA VI RAJA, 1027",21.5,37.1,39.0,31.8,38.4,43.8,32,32,0,0,13,0,13,19,40.6
"Taplejung, Mechi, Eastern",Mountain,28,"TRIBHUVAN MA VI MEWAKHOLA THUKIYA, 1028",21.9,48.0,39.9,32.5,31.6,41.4,36,36,0,0,10,2,12,24,33.3
"Taplejung, Mechi, Eastern",Mountain,29,"BIRENDRA MA VI PHUNGLING-1 DEVLING, 1029",19.8,52.8,32.4,28.7,34.0,43.0,26,26,0,1,8,0,9,17,34.6
"Taplejung, Mechi, Eastern",Mountain,30,"KANCHANJUNGHA BOARDING SCHOOL PHUNGLING, 1030",44.8,52.8,74.8,45.0,54.6,49.5,30,30,0,26,4,0,30,0,100.0
"Taplejung, Mechi, Eastern",Mountain,31,"PARAM SINGHA DEVI MA VI NIGURADIN, 1031",16.7,35.6,35.6,31.8,33.7,38.3,32,32,0,0,7,0,7,25,21.9
"Taplejung, Mechi, Eastern",Mountain,32,"MECHI ST. MARY'S ENGLISH BOARDING SCHOOL PHUNGLING-7, 1032",47.5,60.7,61.2,36.5,45.5,45.7,6,6,0,3,3,0,6,0,100.0
"Taplejung, Mechi, Eastern",Mountain,33,"SIDDHAKALI MA VI DOKHU-5, 1033",18.0,48.0,26.0,24.3,30.5,40.5,42,42,0,0,7,0,7,35,16.7
"Taplejung, Mechi, Eastern",Mountain,34,"MAYAM MA VI FURUMBU-5, 1034",20.4,47.1,37.8,33.9,32.9,37.9,35,35,0,0,9,4,13,22,37.1
"Taplejung, Mechi, Eastern",Mountain,35,"GUPTESHWAR MA VI PHULBARI, 1035",15.7,42.6,32.5,33.6,30.8,36.0,20,20,0,0,1,0,1,19,5.0
"Taplejung, Mechi, Eastern",Mountain,36,"OXFORD MODEL ENGLISH BOARDING SCHOOL PHUNGLING, 1036",43.1,62.5,66.6,38.0,50.5,49.8,8,8,0,5,3,0,8,0,100.0
"Panchthar, Mechi, Eastern",Hill,37,"PRIVATE PANCHTHAR, 2000",21.8,36.2,21.2,20.8,29.6,39.8,97,92,0,1,7,8,16,76,17.4
"Panchthar, Mechi, Eastern",Hill,38,"PHIDIM MA VI PHIDIM, 2001",23.5,45.3,39.1,29.1,37.3,42.7,104,103,0,13,29,1,43,60,41.7
"Panchthar, Mechi, Eastern",Hill,39,"AMARPUR MA VI DORAMBA AMARPUR, 2002",24.9,37.4,37.7,25.9,33.3,40.2,116,116,0,2,33,21,56,60,48.3
"Panchthar, Mechi, Eastern",Hill,40,"BISHNU MA VI CHYANGTHAPU, 2003",28.1,40.5,40.1,26.7,53.0,39.3,22,22,0,2,13,0,15,7,68.2
"Panchthar, Mechi, Eastern",Hill,41,"KHALANGATAR MA VI YANGNAM, 2004",27.3,43.4,37.2,27.3,30.5,29.2,17,17,0,1,3,4,8,9,47.1
"Panchthar, Mechi, Eastern",Hill,42,"SIDDHA DEVI MA VI NAWAMIDADA, 2005",24.5,36.5,35.5,25.4,33.8,38.1,173,173,0,6,42,31,79,94,45.7
"Panchthar, Mechi, Eastern",Hill,43,"SIDDHAKALI MA VI EAKTIN JORPATI, 2006",18.6,43.4,24.8,25.7,34.1,34.1,46,46,0,1,10,0,11,35,23.9
"Panchthar, Mechi, Eastern",Hill,44,"NAYA NAMUNA MA VI PHIDIM BAZAR, 2007",33.5,52.1,55.0,35.2,46.5,51.8,86,86,1,34,26,1,62,24,72.1
"Panchthar, Mechi, Eastern",Hill,45,"SIDDHA DEVI MA VI NANGIN PIPALBOTE, 2008",21.5,41.8,25.7,26.8,32.7,44.2,79,79,0,3,13,1,17,62,21.5
"Panchthar, Mechi, Eastern",Hill,46,"SIDDHESWORI MA VI BHARPA TUWA, 2009",18.8,37.3,26.1,25.8,31.6,32.9,78,77,0,0,18,1,19,58,24.7
"Panchthar, Mechi, Eastern",Hill,47,"GUPTESHWOR MA VI OYAM, 2010",24.2,37.3,37.4,27.8,40.3,37.1,42,42,0,1,17,2,20,22,47.6
"Panchthar, Mechi, Eastern",Hill,48,"JAY NARAYAN ADARSHA MA VI MEHELBOTE, 2011",19.7,34.5,33.8,25.4,32.0,35.4,64,63,0,0,18,2,20,43,31.7
"Panchthar, Mechi, Eastern",Hill,49,"DURGA MA VI RAVI, 2012",23.9,44.6,41.9,24.8,36.9,37.9,83,82,0,5,29,8,42,40,51.2
"Panchthar, Mechi, Eastern",Hill,50,"PRITHIVI MA VI YASOK, 2013",23.1,33.7,33.8,28.4,34.0,36.8,81,81,0,4,21,3,28,53,34.6
"Panchthar, Mechi, Eastern",Hill,51,"INDRANI MA VI MOUWA, 2014",19.3,39.1,35.0,26.2,35.0,36.7,83,83,0,1,16,5,22,61,26.5
"Panchthar, Mechi, Eastern",Hill,52,"NILGIRI MA VI SUBHANG, 2015",28.9,35.3,30.2,31.7,32.2,40.0,81,80,0,5,26,6,37,43,46.3
"Panchthar, Mechi, Eastern",Hill,53,"RANITAR MA VI RANITAR, 2016",13.8,44.3,32.9,24.4,32.7,38.1,100,100,0,1,12,0,13,87,13.0
"Panchthar, Mechi, Eastern",Hill,54,"SARASWATI MA VI MACHHEBUNG, 2017",21.0,41.2,29.8,21.9,28.1,30.6,80,80,0,1,14,6,21,59,26.3
"Panchthar, Mechi, Eastern",Hill,55,"THARPU MA VI THARPU, 2018",25.0,42.6,38.9,31.1,41.4,39.6,168,168,0,15,73,8,96,72,57.1
"Panchthar, Mechi, Eastern",Hill,56,"SIRIJUNG MA VI GOPETAR, 2019",29.1,39.6,34.0,31.7,34.0,41.6,122,122,0,7,49,9,65,57,53.3
"Panchthar, Mechi, Eastern",Hill,57,"DURGA MA VI SARANGDANDA, 2020",26.1,40.7,43.6,28.9,32.0,43.3,36,36,0,1,20,0,21,15,58.3
"Panchthar, Mechi, Eastern",Hill,58,"SARASWATI MA VI CHOKMAGU, 2021",23.4,45.3,32.2,22.6,36.1,35.0,56,56,0,2,13,7,22,34,39.3
"Panchthar, Mechi, Eastern",Hill,59,"SARATAP MA VI PAUWA, 2022",11.9,44.8,24.5,19.6,34.0,38.2,40,40,0,0,1,0,1,39,2.5
"Panchthar, Mechi, Eastern",Hill,60,"KALIKA MA VI PRANGBUNG, 2023",24.9,40.4,30.1,22.5,28.4,24.4,36,33,0,0,10,4,14,19,42.4
"Panchthar, Mechi, Eastern",Hill,61,"JANA KALYAN MA VI KOLBUNG PHAKTEP, 2024",16.3,34.0,38.7,24.8,33.0,39.6,53,53,0,5,8,0,13,40,24.5
"Panchthar, Mechi, Eastern",Hill,62,"MECHI ENGLISH SCHOOL PHIDIM 4, 2025",51.0,52.3,65.2,42.2,58.1,55.4,33,33,1,24,8,0,33,0,100.0
"Panchthar, Mechi, Eastern",Hill,63,"ARUBOTE MA VI ARUBOTE, 2026",16.9,33.3,28.3,17.4,23.7,33.3,71,71,0,2,6,0,8,63,11.3
"Panchthar, Mechi, Eastern",Hill,64,"MAHENDRODAYA MA VI PIPALBOTE, 2027",21.5,35.8,29.8,27.1,30.1,36.4,74,74,0,0,20,8,28,46,37.8
"Panchthar, Mechi, Eastern",Hill,65,"SINGHA SIDDHA MA VI ANSHUBHANJYANG LUWAPHU, 2028",19.8,39.4,28.2,26.2,31.4,31.3,50,50,0,1,8,3,12,38,24.0
"Panchthar, Mechi, Eastern",Hill,66,"GANESH MA VI NAGI CHITTOK, 2029",24.7,35.0,25.0,30.7,31.4,39.6,61,61,0,0,14,5,19,42,31.1
"Panchthar, Mechi, Eastern",Hill,67,"KURUMBA MA VI KURUMBA, 2030",17.0,42.1,25.9,21.1,30.9,33.5,43,43,0,0,6,3,9,34,20.9
"Panchthar, Mechi, Eastern",Hill,68,"GHURBISE PANCHAMI MA VI PHAKTEP, 2031",12.4,35.3,26.2,21.3,29.1,35.2,125,124,0,5,8,0,13,111,10.5
"Panchthar, Mechi, Eastern",Hill,69,"MAHADEV GUPTESHWOR MA VI PHULPA LUNGRUPA, 2032",18.1,37.7,20.9,26.0,30.7,39.3,47,46,0,3,5,2,10,36,21.7
"Panchthar, Mechi, Eastern",Hill,70,"SIDDHA SARASWATI MA VI BARBHANJYANG MANGJABUNG, 2033",19.1,34.2,29.3,25.7,32.2,31.6,37,36,0,1,4,7,12,24,33.3
"Panchthar, Mechi, Eastern",Hill,71,"CHANDRESHWAR MA VI KHANDRONG, 2034",30.2,45.7,45.7,26.3,41.3,45.1,33,33,0,1,28,1,30,3,90.9
"Panchthar, Mechi, Eastern",Hill,72,"VIDYA BARDAN ENGLISH BOARDING SCHOOL PHIDIM, 2035",44.8,42.4,57.8,42.2,51.4,48.2,26,26,0,15,8,0,23,3,88.5
"Panchthar, Mechi, Eastern",Hill,73,"ITHUNG MA VI RANITAR, 2037",11.2,33.3,20.5,15.5,26.8,39.9,57,54,0,0,2,0,2,52,3.7
"Panchthar, Mechi, Eastern",Hill,74,"KALIKA SECONDARY SCHOOL BABUNGA NAGIN, 2038",21.2,49.8,29.9,27.8,39.5,47.1,36,36,0,2,11,0,13,23,36.1
"Panchthar, Mechi, Eastern",Hill,75,"SIDDHA MA VI PANCHAMI, 2040",26.5,36.1,36.3,27.1,31.8,32.8,64,64,0,1,17,13,31,33,48.4
"Panchthar, Mechi, Eastern",Hill,76,"INDRAWATI MA VI HANGUM, 2041",23.1,38.0,33.1,23.2,29.8,34.1,49,49,0,0,11,9,20,29,40.8
"Panchthar, Mechi, Eastern",Hill,77,"SIDDHA DEVI MA VI SIDIN, 2042",17.3,39.3,18.5,21.7,28.4,41.1,71,71,0,0,8,0,8,63,11.3
"Panchthar, Mechi, Eastern",Hill,78,"JALA SINGH MA VI PAUWA SARTAP, 2043",14.8,44.9,29.9,28.1,40.4,38.5,32,32,0,3,5,0,8,24,25.0
"Panchthar, Mechi, Eastern",Hill,79,"SARSWATI MA VI KHUNGA EAKTIN, 2044",17.2,42.4,27.2,30.4,35.9,35.2,34,34,0,0,2,0,2,32,5.9
"Panchthar, Mechi, Eastern",Hill,80,"SINGHA DEVI MA VI KURUMBA SIKTEMBA, 2045",22.9,39.3,33.8,24.0,28.3,35.2,38,38,0,2,7,1,10,28,26.3
"Panchthar, Mechi, Eastern",Hill,81,"SARBAJANIK MA VI LIMBA, 2046",27.3,42.9,44.2,28.0,38.8,39.6,29,29,0,0,20,3,23,6,79.3
"Panchthar, Mechi, Eastern",Hill,82,"SINGHPUR PASHUPATI MA VI AMARPUR, 2048",26.0,38.6,36.7,27.4,33.0,39.6,65,64,0,4,22,5,31,33,48.4
"Panchthar, Mechi, Eastern",Hill,83,"SIDDHA MA VI TINGDEN RANIGAUN, 2049",20.5,35.3,25.2,22.6,31.4,35.3,38,37,0,0,7,3,10,27,27.0
"Panchthar, Mechi, Eastern",Hill,84,"JANAJYOTY SECONDARY ENGLISH BOARDING SCHOOL KURUMBA, 2052",14.2,39.3,27.9,19.0,31.7,35.7,15,15,0,0,0,0,0,15,0.0
"Panchthar, Mechi, Eastern",Hill,85,"BHAGAWATI MA VI DURDIMBA, 2053",30.9,43.4,39.1,28.7,45.6,45.7,19,19,0,0,16,0,16,3,84.2
"Panchthar, Mechi, Eastern",Hill,86,"BUDDHA MA VI FALAICHA-3, 2054",29.3,46.3,36.8,28.3,46.2,40.5,22,22,0,0,16,2,18,4,81.8
"Panchthar, Mechi, Eastern",Hill,87,"SATYA HANGMA MA VI ENABUNG, 2055",26.7,40.8,33.2,23.9,34.3,33.9,41,41,0,0,13,6,19,22,46.3
"Ilam, Mechi, Eastern",Hill,88,"PRIVATE ILAM, 3000",29.3,29.7,10.7,11.7,24.7,35.0,3,3,0,0,0,0,0,3,0.0
"Ilam, Mechi, Eastern",Hill,89,"ADARSHA MA VI ILAM, 3001",33.0,47.8,36.7,32.1,44.6,49.6,263,263,5,46,97,4,152,111,57.8
"Ilam, Mechi, Eastern",Hill,90,"KARFOK VIDYAMANDIR MA VI PANCHAKANYA, 3002",29.1,42.9,38.3,25.2,42.7,39.4,223,223,2,14,86,15,117,106,52.5
"Ilam, Mechi, Eastern",Hill,91,"NAMSALING MA VI NAMSALING, 3003",22.9,42.2,35.3,28.2,40.6,40.8,97,97,0,3,31,11,45,52,46.4
"Ilam, Mechi, Eastern",Hill,92,"BHANUBHAKTA MA VI MANGALBARE, 3004",29.3,44.3,33.2,30.2,44.7,47.4,204,202,0,26,74,2,102,100,50.5
"Ilam, Mechi, Eastern",Hill,93,"SINGHA DEVI MA VI AMCHOK, 3005",24.3,39.0,32.1,30.0,39.2,39.7,119,119,0,5,32,19,56,63,47.1
"Ilam, Mechi, Eastern",Hill,94,"JITPUR MA VI JITPUR, 3006",25.9,43.8,39.4,28.2,43.1,38.4,106,106,1,8,31,11,51,55,48.1
"Ilam, Mechi, Eastern",Hill,95,"BOUDDHADHAM MA VI PASHUPATINAGAR, 3007",28.5,40.7,25.7,22.8,45.7,37.7,119,117,0,4,25,8,37,80,31.6
"Ilam, Mechi, Eastern",Hill,96,"SARASWATI MA VI SULUBUNG, 3008",31.1,41.4,37.2,29.3,39.6,39.5,68,68,0,6,30,9,45,22,66.2
"Ilam, Mechi, Eastern",Hill,97,"AMAR KALYAN MA VI NAYABAZAR, 3009",31.7,46.8,40.4,33.0,43.8,45.7,77,77,0,11,43,3,57,20,74.0
"Ilam, Mechi, Eastern",Hill,98,"MAHENDRODAYA MA VI GAJURMUKHI, 3010",23.3,42.0,33.5,25.7,40.1,39.0,113,113,0,1,45,8,54,59,47.8
"Ilam, Mechi, Eastern",Hill,99,"JANAK MA VI SHREE ANTU, 3011",31.2,48.7,37.7,33.9,34.9,41.7,86,86,0,7,33,5,45,41,52.3
"Ilam, Mechi, Eastern",Hill,100,"CHISOPANI MA VI MIKLUNG BANJHO, 3012",22.8,39.7,23.7,23.6,31.6,40.4,25,25,0,0,7,1,8,17,32.0
"Ilam, Mechi, Eastern",Hill,101,"AMAR MA VI BARBOTE, 3013",30.7,48.0,41.1,27.9,44.3,40.0,144,143,0,22,65,3,90,52,62.9
"Ilam, Mechi, Eastern",Hill,102,"SARASWATI MA VI BATASE LAXMIPUR, 3014",23.8,39.7,25.8,26.7,37.8,41.3,157,157,0,8,39,4,51,106,32.5
"Ilam, Mechi, Eastern",Hill,103,"KRISHNASHRAM MA VI KANYAM, 3016",29.8,49.7,49.2,37.9,41.5,41.6,98,98,0,10,75,5,90,8,91.8
"Ilam, Mechi, Eastern",Hill,104,"KANKAI MA VI DANABARI, 3017",22.1,39.9,29.0,25.3,36.8,37.2,171,169,0,3,45,8,56,113,33.1
"Ilam, Mechi, Eastern",Hill,105,"JANATA MA VI KANCHANPUR, 3018",28.3,41.7,44.0,29.0,39.5,38.0,207,205,1,11,122,28,162,40,79.0
"Ilam, Mechi, Eastern",Hill,106,"JYOTISADAN BOARDING SCHOOL MALAPATH, 3019",10.5,29.0,11.5,13.5,26.0,26.0,2,1,0,0,0,0,0,1,0.0
"Ilam, Mechi, Eastern",Hill,107,"FIKKAL MA VI FIKKAL, 3020",26.6,41.8,33.2,26.5,34.8,40.8,188,187,0,4,68,23,95,92,50.8
"Ilam, Mechi, Eastern",Hill,108,"SHANTI NIKETAN MA VI KOLBUNG, 3021",25.6,50.7,38.9,34.7,39.1,40.7,80,80,1,8,35,4,48,32,60.0
"Ilam, Mechi, Eastern",Hill,109,"BHAGAWATI MA VI GOLAKHARKA, 3022",23.5,47.1,30.5,22.0,40.0,35.9,70,70,0,5,16,1,22,48,31.4
"Ilam, Mechi, Eastern",Hill,110,"SINGHA DEVI MA VI EKATAPPA, 3023",20.4,38.5,39.9,33.2,50.6,44.2,112,112,0,6,40,4,50,62,44.6
"Ilam, Mechi, Eastern",Hill,111,"NEPALTAR MA VI SAKHEJUNG, 3024",20.2,46.5,38.7,30.7,41.7,36.8,117,117,1,8,31,4,44,73,37.6
"Ilam, Mechi, Eastern",Hill,112,"JANATA MA VI CHISAPANI, 3025",20.0,40.4,18.9,22.8,36.4,36.8,58,58,0,0,6,3,9,49,15.5
"Ilam, Mechi, Eastern",Hill,113,"HIMALAYA MA VI GORKHEY, 3026",26.5,44.6,24.1,25.9,51.1,38.9,87,86,0,9,14,0,23,63,26.7
"Ilam, Mechi, Eastern",Hill,114,"SHYAMBAL MA VI MAIMAJHUWA, 3027",26.8,37.9,33.4,27.3,37.0,40.4,30,30,0,0,14,4,18,12,60.0
"Ilam, Mechi, Eastern",Hill,115,"SANGRUMBA MA VI SANGRUMBA, 3028",23.0,44.3,40.9,25.5,45.9,42.6,81,81,0,5,30,0,35,46,43.2
"Ilam, Mechi, Eastern",Hill,116,"PURNA SMARAK MA VI GODAK, 3029",24.7,40.0,38.8,26.7,41.7,41.5,64,64,0,3,19,10,32,32,50.0
"Ilam, Mechi, Eastern",Hill,117,"MAIPOKHARI SAN MA VI MAIPOKHARI SULUBUNG, 3030",28.7,43.4,36.1,28.5,41.0,43.2,31,31,0,1,14,6,21,10,67.7
"Ilam, Mechi, Eastern",Hill,118,"BHAGAWATI MA VI JAMUNA, 3031",17.6,41.3,28.4,28.8,39.8,42.2,58,58,0,2,11,3,16,42,27.6
"Ilam, Mechi, Eastern",Hill,119,"MIKLACHONG MA VI SAKPHARA, 3032",19.3,35.1,16.3,22.0,31.2,40.5,32,32,0,0,4,0,4,28,12.5
"Ilam, Mechi, Eastern",Hill,120,"KHANDRUNG MA VI SIDDHITHUMKA, 3033",21.6,42.5,35.6,28.5,43.1,41.2,107,107,0,2,39,2,43,64,40.2
"Ilam, Mechi, Eastern",Hill,121,"SARASWATI MA VI BHALUTAR, 3039",24.5,39.7,39.5,26.5,38.0,29.3,148,143,0,5,57,17,79,64,55.2
"Ilam, Mechi, Eastern",Hill,122,"SARASWATI MA VI SOYANG, 3040",29.8,42.5,37.8,28.4,38.6,45.5,64,63,0,6,35,4,45,18,71.4
"Ilam, Mechi, Eastern",Hill,123,"SHANTIPUR MA VI SHANTIPUR, 3041",29.8,42.9,34.5,27.1,43.5,42.0,51,51,0,0,30,5,35,16,68.6
"Ilam, Mechi, Eastern",Hill,124,"BHAGAWATI MA VI DHUSENI, 3042",25.8,43.1,26.1,24.6,41.6,43.4,60,60,0,3,18,2,23,37,38.3
"Ilam, Mechi, Eastern",Hill,125,"PANCHA MA VI SHANTIDANDA-8, 3044",26.5,46.2,33.2,28.4,47.5,42.8,58,57,0,3,21,6,30,27,52.6
"Ilam, Mechi, Eastern",Hill,126,"BINAPANI MA VI PUWAMAJHUWA-3, 3045",14.6,37.8,25.6,28.2,37.5,34.0,68,68,0,0,8,1,9,59,13.2
"Ilam, Mechi, Eastern",Hill,127,"DAMBAR DEVI MA VI CHAMAITA, 3047",35.4,52.0,58.3,47.0,56.6,49.9,52,52,0,25,27,0,52,0,100.0
"Ilam, Mechi, Eastern",Hill,128,"LAXMI ADARSHA MA VI MAHAMAI, 3048",19.1,37.7,25.3,22.8,33.4,31.5,71,71,0,0,4,8,12,59,16.9
"Ilam, Mechi, Eastern",Hill,129,"ILAM VIDYA MANDIR MA VI NARAYANSTHAN, 3049",36.4,59.4,48.8,32.3,45.5,42.5,40,40,2,11,16,0,29,11,72.5
"Ilam, Mechi, Eastern",Hill,130,"EBHANG MA VI EBHANG, 3050",23.1,40.5,35.1,27.8,42.1,40.1,35,35,0,0,14,7,21,14,60.0
"Ilam, Mechi, Eastern",Hill,131,"GYANODAYA MA VI JOGMAI, 3053",25.2,40.7,37.2,28.5,38.3,44.7,38,37,0,2,19,0,21,16,56.8
"Ilam, Mechi, Eastern",Hill,132,"JYOTI VIDYA MANDIR MALAPATH, 3054",26.3,46.4,36.7,24.5,36.8,34.9,17,17,0,1,5,0,6,11,35.3
"Ilam, Mechi, Eastern",Hill,133,"PRABODH MA VI MABU-5, 3055",32.1,41.8,33.7,29.4,43.1,46.1,17,17,0,1,10,1,12,5,70.6
"Ilam, Mechi, Eastern",Hill,134,"RASTRIYA MA VI KOLBOTE, 3057",23.0,38.4,36.8,28.5,45.5,38.7,40,40,0,2,12,4,18,22,45.0
"Ilam, Mechi, Eastern",Hill,135,"MOTIRAM MA VI JIRMALE SALAKPUR ILAM, 3058",20.1,42.6,38.1,32.0,35.8,37.5,51,51,0,1,23,1,25,26,49.0
"Ilam, Mechi, Eastern",Hill,136,"SAMALBUNG MA VI SAMALBUNG, 3059",31.2,48.9,41.6,34.2,35.0,45.0,44,44,0,6,18,2,26,18,59.1
"Ilam, Mechi, Eastern",Hill,137,"BISHNU SECONDARY SCHOOL PHUYETAPPA ILAM, 3061",28.0,44.3,46.6,37.2,47.5,39.8,51,51,0,5,32,2,39,12,76.5
"Ilam, Mechi, Eastern",Hill,138,"GREEN VALLEY ACADEMY MA VI ILAM, 3062",61.0,71.2,75.5,47.5,66.9,51.6,10,10,4,6,0,0,10,0,100.0
"Ilam, Mechi, Eastern",Hill,139,"BAL MANDAL MA VI JASBIRE, 3066",24.6,40.1,27.7,22.4,37.8,38.4,49,48,0,0,12,6,18,30,37.5
"Ilam, Mechi, Eastern",Hill,140,"PYANG MA VI PYANG-5, 3067",22.1,41.8,26.1,31.6,41.0,39.8,59,59,0,3,16,2,21,38,35.6
"Jhapa, Mechi, Eastern",Terai,141,"PRIVATE JHAPA, 4000",24.5,34.9,19.4,25.1,35.4,36.5,11,11,0,0,1,1,2,9,18.2
"Jhapa, Mechi, Eastern",Terai,142,"BHADRAPUR MA VI BHADRAPUR, 4001",23.8,37.3,20.1,20.3,32.0,30.3,146,145,0,3,9,8,20,125,13.8
"Jhapa, Mechi, Eastern",Terai,143,"DILLIRAJ MA VI TANGANDUBBA, 4002",29.4,39.6,35.0,32.3,37.3,41.3,85,84,0,11,28,8,47,37,56.0
"Jhapa, Mechi, Eastern",Terai,144,"MAHENDRA RATNA MA VI ANARMANI, 4003",19.6,41.8,34.3,23.1,35.9,47.1,174,174,1,5,30,2,38,136,21.8
"Jhapa, Mechi, Eastern",Terai,145,"HIMALI MA VI PRITHIVINAGAR, 4004",21.3,36.4,32.5,28.6,35.4,38.0,87,87,0,1,19,9,29,58,33.3
"Jhapa, Mechi, Eastern",Terai,146,"MOTI MA VI DHARAMPUR, 4005",25.1,41.1,24.9,27.5,37.5,39.2,51,51,0,5,3,1,9,42,17.6
"Jhapa, Mechi, Eastern",Terai,147,"SAGARMATHA AWASIYA MA VI ANARMANI, 4006",46.6,44.3,50.6,38.0,40.9,41.0,24,24,0,5,11,1,17,7,70.8
"Jhapa, Mechi, Eastern",Terai,148,"PRAGATI MA VI JUROPANI, 4007",30.9,51.4,46.2,33.7,47.7,47.0,53,53,1,10,28,0,39,14,73.6
"Jhapa, Mechi, Eastern",Terai,149,"DURGA MA VI GARAMANI, 4008",24.8,43.9,32.1,24.5,42.1,32.3,167,167,0,10,36,17,63,104,37.7
